【-1】	来源：本文出自书《八字徵驗８講》戴永長著，聚賢館文化有限公司，ISBN，978-962-436-434-7。	
【00】	正文：在六十組干支中，各組干支的高下之別，大致可分成上中下三等。上等干支共二十一個，中等干支共二十六個，下等干支共十三個。以上六十組干支分成三種等級及其吉凶大概，主要針對日主而言。一般說來，面對一個命局，抓住日主的等級優劣，可知命造高低之大概，這是一種快速切入的判斷法，但不是絕對可靠的，為使快速判斷達到較理想的程度，要注意兩點：①依據命局五行強弱定出喜忌；提出用神（或藥神、喜神），確定格局。 ②標出命局中各柱干支的等級。把這兩點緊密結合起來，判斷命造的高低會比較明確。	
【01】	甲子，上等干支，甲木為棟梁之木，木主仁，坐下正印，為身高體健，慈祥愷悌，相貌俊秀。印為文書，身坐文書，主才學超群，有權柄。印又有生身助學之功，故主人記憶力強，學習成績優異。	甲子上…身高體健，慈祥愷悌，相貌俊秀。…主才學超群，有權柄…主人記憶力強，學習成績優異。
【02】	乙丑，中等干支，六秀日，主人秀氣漂亮，身坐金庫，無根，坐下七殺無製，自信心太過，往往一意孤行。女命乙丑，具有男性風格。	乙丑中…秀氣漂亮，…自信心太過，往往一意孤行。女，具有男性風格。
【03】	丙寅，中等干支，丙為太陽，身坐長生，有光彩之象，主人聰明，但坐下梟神奪食，不吉。生於冬至後，夏至前，戊土長生於寅，食神旺，主人聰明，吉；生於夏至後，冬至前，戊土長生在申，食神弱，稍差。	丙寅中…聰明。
【04】	丁卯，中等干支，坐印通根，主人聰明有學問。若四柱出現亥卯未三合局或寅卯辰三會局，為大貴人，但身坐偏印，只能為副職，輔佐他人。	丁卯中…聰明有學問。…為大貴人，…只能為副職，輔佐他人。
【05】	戊辰，上等干支，通根身旺，坐財官比肩，但支中比肩財星化火為印，變成官印相生，故主高貴。支內戊癸化火生土，而辰本為濕土，內中有火，溫暖中和，能生萬物，必然根深葉茂，秀氣有成。	戊辰上…主高貴。…內中有火，溫暖中和，能生萬物，必然根深葉茂，秀氣有成。
【06】	己巳，中等干支，金神，主人剛毅、聰俊，有火則貴，缺火則不得善終。坐下正印、劫財、傷官，傷官佩印，貴不可言，但傷官遇劫，與小人無緣，往往遭小人誣陷。	己巳中…主人剛毅、聰俊，貴〔或〕不得善終。…貴不可言，…與小人無緣，往往遭小人誣陷。
【07】	庚午，上等干支，身坐正官正印，氣質清純，必主官貴，但金坐火地，須經火煉，所以仕途坎坷，有大起，也有大落。	庚午上 …氣質清純，官貴，…須經火煉，所以仕途坎坷，有大起大落。
【08】	辛未，中等干支，得庫通根，身旺，坐下偏財、偏印，七殺，一片順生，主小貴，吉。女命辛未愛情專一，奪夫權，守家，獨裁。	辛未中…小貴。女，愛情專一，奪夫權，守家，獨裁。
【09】	壬申，下等干支，身坐長生，太旺，主人好動不拘。納音劍鋒金，男命敢於拼打爭鬥，不善終。女命重武好鬥，具男性風格。	壬申下…好動不拘。…男，敢於拼打爭鬥，不善終。女，重武好鬥，具男性風格。
【10】	癸酉，下等干支，坐偏印，金神，外表柔和，內心陰毒。好於壬申，富於心計，會掙錢，但也會花。	癸酉下…外表柔和，內心陰毒。好於壬申，富於心計，會掙錢，但也會花。
【11】	甲戌，中等干支，得庫通根身旺，坐下偏財正官、傷官，主人剛強正直，光明正大，為官清廉，但性格過於直爽得罪人，難免受到打擊、排擠。	甲戌中…剛強正直，光明正大，為官清廉，但性格過於直爽得罪人，難免受到打擊、排擠。
【12】	乙亥，中等干支，雖處死地，卻坐下為正印劫財，幫身，故有枯木逢春之象。男命乙亥得好妻；女命乙亥主得貴夫，而且對夫忠誠。另外，女命乙亥，非常漂亮。	乙亥中…男得好妻；女得貴夫，且對夫忠誠。女，非常漂亮。
【13】	丙子，上等干支，為六秀，主人聰明秀氣。丙火坐子無根、主人身矮。丙為太陽主光明，而子鼠狡猾，子中癸水陰濕，故主人性格雙重。身坐正官，一權在握，往往自以為是，獨裁固執。	丙子上…聰明秀氣…身矮…性格雙重…一權在握，往往自以為是，獨裁固執。
【14】	丁丑，中等干支，丁火坐丑無根，身弱，但丁為星光，無妨。坐下偏財七殺、食神，食神生偏財，偏財生殺，也一片順生，吉。	丁丑中…吉。
【15】	戊寅，中等干支，坐長生，身旺。生於春，則坐下七殺過重，一生勞苦，多為人造福。	戊寅中…一生勞苦，多為人造福。
【16】	己卯，下等干支，坐殺截腳，為最差之日，人命己卯，易殘疾，受傷，一生勞苦。年上己卯，祖上傷殘，不善終；月上己卯，父母不團圓；日上己卯，青年時期命危；時上己卯，老年不善終，子女不好。	己卯下…最差之日，日柱己卯，易殘疾，受傷，一生勞苦。年，祖上傷殘，不善終；月，父母不團圓；日，青年時期命危；時，老年不善終，子女不好。
【17】	庚辰，上等干支，身坐正財、傷官、偏印，主人有財祿，聰明又學識，支中傷官帶偏印有貴氣，而戊癸化火為官殺，變成日坐財官雙關，可做官，但隱含傷官，可能喜開殺戒。	庚辰上…有財祿，聰明又學識…可做官，…可能喜開殺戒。
【18】	辛巳，上等干支，身坐正官正印劫財。辛金柔弱，有正印生身，劫財幫助，由弱化旺，而正官丙火製衡，使幹支中和，必主官貴，富於成功。	辛巳上…官貴，富於成功。
【19】	壬午，上等干支，坐下財官，無雜氣，多主官貴，丁壬合財，主得妻財或因妻致富，或因妻致貴。但壬午不如癸巳，癸巳財官雙美無雜氣，又為日貴。另外，壬水蓋頭有掩火之嫌，故雖有官貴，也難免大起大落。	壬午上…得妻財或因妻致富，或因妻致貴。…雖有官貴，也難免大起大落。
【20】	癸未，中等干支，坐下有食神生財、財生殺。因坐偏財，七殺，故男女逢癸未，重婚較多，但男女均漂亮，愛情專一。	癸未中…重婚較多，男女均漂亮，愛情專一。
【21】	甲申，下等干支，坐絕地，一輩子辛苦，奔波，但死木逢殺剋削，也不失可用。	甲申下…一輩子辛苦，奔波。
【22】	乙酉，下等干支，坐殺截腳，生在春天有救，生在土月助殺攻身，不妙。人命乙酉多不善終或不高壽。女命乙酉，漂亮、浪漫、早戀、早婚。	乙酉下…多不善終或不高壽。女，漂亮、浪漫、早戀、早婚。
【23】	丙戌，中等干支，坐火庫，身旺，火光熠熠，聰明漂亮（男女均屬）。	丙戌中…男女均聰明漂亮。
【24】	丁亥，上等干支，坐下正印官星，官印相生，主聰明超群，丁壬合化印星，坐貴，主官貴，與大貴人有緣。女命丁亥，可嫁貴夫。	丁亥上…聰明超群…主官貴，與大貴人有緣。女，可嫁貴夫。
【25】	戊子，上等干支，六秀日，主人聰明秀氣，坐正財，得賢妻，因妻致富；干支戊癸化火生身，主高貴。	戊子上…聰明秀氣，…得賢妻，因妻致富…主高貴。
【26】	己丑，中等干支，通根，比丁丑好，生於得令時為強，比肩奪財爭鬥，生於失令時則有兄弟幫忙。	己丑中…比丁丑好。
【27】	庚寅，中等干支，坐絕地，無根，蓋頭（干剋支），女命剋夫再嫁，做偏妾可以，男命庚寅不善終，但坐殺印有開拓精神，為官多清廉，支藏偏印宜做副手。	庚寅中…女，剋夫再嫁，做偏妾可以，男，不善終，…為官多清廉，支藏偏印宜做副手。
【28】	辛卯，下等干支，坐偏財，桃花，男命喜歡女色，女命稍好，但漂亮難禁風流（因既漂亮，又浪漫，對異性富吸引力）。	辛卯下…男，喜歡女色，女稍好，但漂亮難禁風流（因既漂亮，又浪漫，對異性富吸引力）。
